Program_Type,Alliance,Record,Year,Service_Type,Service_Population,Count_type,Student_Type,Race,Count
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Graduate students at 4-year IHEs,White,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,High school students,American Indian or Alaska Native ,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,High school students,Asian or Asian American,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,High school students,Black or African American,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,High school students,Collected but not recognized,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,High school students,Middle Eastern or Northern African ,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,High school students,Multi Racial,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,High school students,Native Hawaiian or Other Pacific Islander,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,High school students,Not collected,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,High school students,Not provided,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,High school students,Other,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,High school students,White,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),American Indian or Alaska Native ,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Asian or Asian American,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Black or African American,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Collected but not recognized,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Middle Eastern or Northern African ,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Multi Racial,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Native Hawaiian or Other Pacific Islander,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Not collected,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Not provided,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Other,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),White,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Middle school students,American Indian or Alaska Native ,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Middle school students,Asian or Asian American,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Middle school students,Black or African American,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Middle school students,Collected but not recognized,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Middle school students,Middle Eastern or Northern African ,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Middle school students,Multi Racial,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Middle school students,Native Hawaiian or Other Pacific Islander,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Middle school students,Not collected,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Middle school students,Not provided,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Middle school students,Other,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Middle school students,White,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),American Indian or Alaska Native ,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Asian or Asian American,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Black or African American,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Collected but not recognized,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Middle Eastern or Northern African ,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Multi Racial,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Native Hawaiian or Other Pacific Islander,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Not collected,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Not provided,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Other,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),White,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),American Indian or Alaska Native ,2
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Asian or Asian American,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Black or African American,19
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Collected but not recognized,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Middle Eastern or Northern African ,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Multi Racial,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Native Hawaiian or Other Pacific Islander,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Not collected,264
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Not provided,3
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Other,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),White,33
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),American Indian or Alaska Native ,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Asian or Asian American,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Black or African American,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Collected but not recognized,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Middle Eastern or Northern African ,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Multi Racial,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Native Hawaiian or Other Pacific Islander,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Not collected,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Not provided,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Other,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),White,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,American Indian or Alaska Native ,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Asian or Asian American,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Black or African American,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Collected but not recognized,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Middle Eastern or Northern African ,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Multi Racial,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Native Hawaiian or Other Pacific Islander,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Not collected,1
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Not provided,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Other,0
NSF INCLUDES Alliances,STEM OPS,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,White,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Elementary school students,American Indian or Alaska Native ,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Elementary school students,Asian or Asian American,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Elementary school students,Black or African American,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Elementary school students,Collected but not recognized,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Elementary school students,Middle Eastern or Northern African ,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Elementary school students,Multi Racial,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Elementary school students,Native Hawaiian or Other Pacific Islander,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Elementary school students,Not collected,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Elementary school students,Not provided,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Elementary school students,Other,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Elementary school students,White,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Graduate students at 4-year IHEs,American Indian or Alaska Native ,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Graduate students at 4-year IHEs,Asian or Asian American,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Graduate students at 4-year IHEs,Black or African American,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Graduate students at 4-year IHEs,Collected but not recognized,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Graduate students at 4-year IHEs,Middle Eastern or Northern African ,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Graduate students at 4-year IHEs,Multi Racial,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Graduate students at 4-year IHEs,Native Hawaiian or Other Pacific Islander,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Graduate students at 4-year IHEs,Not collected,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Graduate students at 4-year IHEs,Not provided,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Graduate students at 4-year IHEs,Other,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Graduate students at 4-year IHEs,White,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,High school students,American Indian or Alaska Native ,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,High school students,Asian or Asian American,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,High school students,Black or African American,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,High school students,Collected but not recognized,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,High school students,Middle Eastern or Northern African ,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,High school students,Multi Racial,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,High school students,Native Hawaiian or Other Pacific Islander,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,High school students,Not collected,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,High school students,Not provided,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,High school students,Other,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,High school students,White,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),American Indian or Alaska Native ,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Asian or Asian American,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Black or African American,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Collected but not recognized,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Middle Eastern or Northern African ,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Multi Racial,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Native Hawaiian or Other Pacific Islander,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Not collected,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Not provided,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),Other,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,PreK-20 students (cannot distinguish K-20 levels),White,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Middle school students,American Indian or Alaska Native ,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Middle school students,Asian or Asian American,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Middle school students,Black or African American,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Middle school students,Collected but not recognized,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Middle school students,Middle Eastern or Northern African ,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Middle school students,Multi Racial,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Middle school students,Native Hawaiian or Other Pacific Islander,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Middle school students,Not collected,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Middle school students,Not provided,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Middle school students,Other,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Middle school students,White,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),American Indian or Alaska Native ,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Asian or Asian American,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Black or African American,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Collected but not recognized,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Middle Eastern or Northern African ,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Multi Racial,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Native Hawaiian or Other Pacific Islander,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Not collected,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Not provided,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),Other,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Other PreK–12 students (cannot distinguish K-12 levels),White,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),American Indian or Alaska Native ,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Asian or Asian American,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Black or African American,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Collected but not recognized,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Middle Eastern or Northern African ,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Multi Racial,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Native Hawaiian or Other Pacific Islander,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Not collected,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Not provided,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Other,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),White,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),American Indian or Alaska Native ,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Asian or Asian American,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Black or African American,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Collected but not recognized,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Middle Eastern or Northern African ,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Multi Racial,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Native Hawaiian or Other Pacific Islander,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Not collected,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Not provided,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Other,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),White,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,American Indian or Alaska Native ,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Asian or Asian American,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Black or African American,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Collected but not recognized,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Middle Eastern or Northern African ,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Multi Racial,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Native Hawaiian or Other Pacific Islander,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Not collected,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Not provided,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Other,0
NSF INCLUDES Alliances,STEM PUSH,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,White,0
